uc_seq,name,gugun,lat,lng,site,title,subtitle,address1,address2,homepage_u,usage_day,rprsntv_me,main_img_n,main_img_t,itemcntnts,WKT
"1504","킹콩스시","수영구","35.1689","129.11972","킹콩스시","킹콩스시","-","수영구 구락로 8-4","-","-","11:00-15:00 / 17:00-21:30","모듬초밥, 특선초밥","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605105014796_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605105014796_thumbL","가격대비 만족도가 무척 높다는 초밥전문점으로 합리적인 가격으로 신선하고 좋은 구성의 초밥을 제공하고 있다.포장이나 배달주문이 많은 곳이기도 하다.","POINT (129.11972 35.1689)"
"1505","타이가 텐푸라","해운대구","35.164764","129.1584","타이가 텐푸라","타이가 텐푸라","-","해운대구 우동1로 38번가길 15","-","-","11:00-15:30 / 17:00-20:00","타이가텐동, 토리텐동","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605114432846_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605114432846_thumbL","부산에 텐동유행을 불러온 가게 중 하나로, 후쿠오카의 유명 텐동전문점인 텐푸라타카오에서 직접 전수 받은 레시피와 소스로 완성도 높은 텐동을 선보인다.주문과 동시에 조리가 시작된다.","POINT (129.1584 35.164764)"
"1506","톤쇼우 부산대점","금정구","35.230446","129.08427","톤쇼우 부산대점","톤쇼우 부산대점","-","금정구 금강로 247-10","-","-","11:30-21:00","버크셔K 특 로스카츠, 히레카츠","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605125705151_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605125705151_thumbL","유명한 돈카츠전문점 톤쇼우의 본점으로, 좋은 재료를 선별해 저온, 고온, 레스팅, 숯불구이의 네 단계의 조리를 거쳐 만들어진 돈카츠는 놀라운 맛을 선사한다.","POINT (129.08427 35.230446)"
"1507","삼성밀면","부산진구","35.181423","129.05115","삼성밀면","삼성밀면","-","부산진구 월드컵대로449번길 47","-","-","11:00-16:00/17:00-20:00","밀면, 주물럭","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153955424_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153955424_thumbL","60여 년째 밀면의 맛을 이어가고 있는 밀면전문점인 이곳은 유일하게 1세대 영업주가 운영하는 식당으로 부연 설명이 필요없는 식당이다.","POINT (129.05115 35.181423)"
"1508","부산약콩밀면","남구","35.123108","129.11333","부산약콩밀면","부산약콩밀면","-","남구 동명로145번길 80 1층","-","-","11:00-15:30/17:00-20:00","물밀면, 물비빔밀면","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605160757154_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605160757154_thumbL","밀면에 맛과 건강을 더하기 위해, 40년간 쌓인 노하우를 바탕으로 약콩과 함초, 톳으로 만든 천연간수와 기장 다시마로 직접 만든 식초를 사용하여깊은 맛을 가진 특색 있는 밀면을 개발해 낸 �","POINT (129.11333 35.123108)"
"1509","면채움","금정구","35.24463","129.0901","면채움","면채움","-","금정구 금정로231번길 11","-","-","10:30-21:00","밀면, 비빔만두","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605162454973_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605162454973_thumbL","건강한 밀면의 맛을 위해 오곡을 제분하여 직접 면을 뽑고 48시간 우려낸 육수와 과일, 채소로 맛을 낸 천연 양념장을 사용하는 밀면전문점으로,추억의 음식인 비빔만두도 인기 있는 곳이다.","POINT (129.0901 35.24463)"
"1510","대연밀면","남구","35.13132","129.08981","대연밀면","대연밀면","-","남구 천제등로 55(1층)","-","-","11:00-15:30 / 15:30-18:00","비빔밀면, 들깨칼국수","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605163059829_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605163059829_thumbL","2011년부터 영업 중인 밀면 전문점으로 이 지역에서 꾸준히 사랑받아 온 식당이다.기본에 충실한 전통적인 밀면의 맛을 가지고 있으며, 이곳 역시 웨이팅을 감수하고 찾아야 하는 곳이기도 하�","POINT (129.08981 35.13132)"
"1511","합천국밥집","남구","35.111244","129.11125","합천국밥집","합천국밥집","-","남구 용호로 235","-","-","09:00-14:00 / 14:30-20:00","돼지국밥, 수육","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605171506269_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605171506269_thumbL","부산의 돼지국밥을 이야기할 때 빠지지 않는 곳 중 한 곳으로 다른 유명 돼지국밥집과는 다르게 맑고 깔끔한 국물이 특징이다.국산 돼지고기만 사용하는데, 큼직한 고기가 아낌없이 들어가 있","POINT (129.11125 35.111244)"
"1512","정짓간","사하구","35.095695","128.96248","정짓간","정짓간","-","사하구 비봉로 6 1층","-","-","24시간","돼지국밥, 막국수","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605173020771_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605173020771_thumbL","부엌의 경상도 방언을 상호로 쓰는 이곳은 가마솥에서 48시간 끓여 돼지국밥을 만든다.수육백반의 고기는 삼겹살과 항정살 중 선택할 수 있고, 국밥 역시 고기와 온도, 맵기 등 취향대로 선택�","POINT (128.96248 35.095695)"
"1513","우리돼지국밥","동구","35.11995","129.03925","우리돼지국밥","우리돼지국밥","-","동구 초량로 27-1","-","-","24시간","돼지국밥, 모듬수육","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605175347129_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605175347129_thumbL","1975년부터 3대째 운영하고 있는 이곳은, 24시간 국물을 계속 끓이며 전통적인 토렴방식을 유지하고 있는 곳이다. 돼지 한 마리를 통째로 사용하기 때문에 원하는 부위를 주문하면 즉시 조리해 �","POINT (129.03925 35.11995)"
"1514","영진식당","사하구","35.096634","128.95787","영진식당","영진식당","-","사하구 하신번영로157번길 39","-","-","09:30-15:00 / 17:00-21:30","수육백반, 돼지국밥","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607095942137_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607095942137_thumbL","부산의 향토음식인 돼지국밥을 대표하는 식당 중 한 곳으로, 항상 많은 사람들이 찾아오는 곳이다. 돼지 특유의 냄새를 제거하여 깔끔하고 담백한 맛을 자랑하며 수육과 두부, 볶음김치가 함�","POINT (128.95787 35.096634)"
"1515","수복돼지국밥","연제구","35.1859","129.0869","수복돼지국밥","수복돼지국밥","-","연제구 고분로 41-1 2층","-","-","08:00-22:00","수육백반, 돼지국밥","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607101844356_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607101844356_thumbL","국내산 돼지고기와 내장, 직접 만든 순대를 사용하고, 김치와 깍두기 역시 직접 담는다. 이른 시간부터 누구에게 대접해도 손색없이 음식준비에 정성을 들이고 있으며,넓은 주차장과 청결한 �","POINT (129.0869 35.1859)"
"1516","부광돼지국밥","중구","35.104244","129.03506","부광돼지국밥","부광돼지국밥","-","중구 대청로 141번길 15-1","-","-","09:30-20:00","돼지국밥, 수육","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607102742732_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607102742732_thumbL","3대에 걸쳐 40여 년을 영업 중인 이곳은 전통적인 방식으로 돼지국밥을 만들고 있는 곳이다.김치와 깍두기는 직접 담그며, 오래도록 인기 있는 가게답게 신선하고 좋은 재료를 고집한다고 한다","POINT (129.03506 35.104244)"
"1517","수향밥상","사하구","35.053585","128.97047","수향밥상","수향밥상","-","사하구 다대로 592","-","-","09:00-16:00/16:30-22:00","추어탕, 갈비탕","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607104813073_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607104813073_thumbL","가족단위 손님이 많이 찾는다는 추어요리전문점으로 진한 국물의 추어탕이 대표메뉴.직영 양어장을 운영하는 등 건강하고 좋은 재료를 사용하기 위해 많은 노력을 기울이고 있는 곳이다.","POINT (128.97047 35.053585)"
"1518","해물왕창칼국수","사상구","35.1727","128.98376","해물왕창칼국수","해물왕창칼국수","-","사상구 사상로 316","-","-","11:00-21:30","해물왕창칼국수(2인부터 주문), 육전물밀면","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607111449187_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607111449187_thumbL","칼국수의 맛을 내는 조개류는 전라도 고흥에서 매일 공수해오고 있으며, 해물탕에 넣어먹는 자가제면 칼국수는 매일 직접 반죽하여 숙성 시킨다.신선한 재료와 정성이 듬뿍 들어간 칼국수는 �","POINT (128.98376 35.1727)"
"1519","할매재첩국","수영구","35.151875","129.11638","할매재첩국","할매재첩국","-","수영구 광남로120번길 8","-","-","06:00-21:00","재첩정식, 재첩덮밥","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607112250305_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607112250305_thumbL","1950년 구포에서 재첩국 판매를 시작하여 지금의 자리로 온 것은 20여년이 되었다고 하는재첩국전문점으로, 이른 시간부터 운영하고 있어 아침을 먹으러 오는 손님들도 많다.서울에 직영점을 �","POINT (129.11638 35.151875)"
"1520","동래할매파전","동래구","35.204575","129.08385","동래할매파전","동래할매파전","-","동래구 명륜로 94번길 43-10","-","-","11:30-15:00 / 17:00-21:00","동래할매파전, 동래고동찜","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607112744753_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230607112744753_thumbL","4대를 이어오고 있는 유명한 식당으로 부산의 대표적 향토음식인 동래파전의 전통을이어가고 있는 곳. 사진으로는 담을 수 없는 식재료의 푸짐함을 느낄수 있다.","POINT (129.08385 35.204575)"
